"citation","doi","filename","variable","word_column","mean_column","sd_column","ss/item","min_score","max_score"
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","aoa","word_dutch","aoa_mean","aoa_sd",,2.03,14.58
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","aoa_male","word_dutch","aoa_mean_male","aoa_sd_male",,2.06,13.33
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","aoa_male_female","word_dutch","aoa_mean_male_female","aoa_sd_male_female",,1.94,15.92
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","arousal","word_dutch","arousal_mean","arousal_sd",,1.45,6.52
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","arousal_male","word_dutch","arousal_mean_male","arousal_sd_male",,1.56,6.61
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","arousal_male_female","word_dutch","arousal_mean_male_female","arousal_sd_male_female",,1.34,6.81
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","valence","word_dutch","valence_mean","valence_sd",,1.14,6.61
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","valence_male","word_dutch","valence_mean_male","valence_sd_male",,1.16,6.5
"Agnes Moors, Jan De Houwer, Dirk Hermans, Sabine Wanmaker, Kevin van Schie, Anne-Laura Van Harmelen, et al.. (2013). Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words. Behavior Research Methods","https://doi.org/10.3758/s13428-012-0243-8","Moors2013.csv","valence_male_female","word_dutch","valence_mean_male_female","valence_sd_male_female",,1.09,6.78
"Francisco Javier Moreno-Martínez, Pedro R. Montoro. (2012). An Ecological Alternative to Snodgrass & Vanderwart: 360 High Quality Colour Images with Norms for Seven Psycholinguistic Variables. PLoS ONE","https://doi.org/10.1371/journal.pone.0037527","Moreno-Martinez2012.csv","aoa","word_spanish","aoa_mean","aoa_sd",,1.37,6.73
